1,الٓمٓ,,,,
2,تِلْكَ آيَاتُ الْكِتَابِ الْحَكِيمِ ,,,,
3,هُدًى وَرَحْمَةً لِلْمُحْسِنِينَ,"""هُدًى"" حال من { الْكِتَابِ } ، الجار ""للمحسنين"" متعلق بنعت لـ""رحمة"".",,,
4,الَّذِينَ يُقِيمُونَ الصَّلاةَ وَيُؤْتُونَ الزَّكَاةَ وَهُمْ بِالآخِرَةِ هُمْ يُوقِنُونَ,"الذين"" نعت للمحسنين، جملة ""هم يوقنون"" معطوفة على جملة الصلة، و""هم"" الثانية توكيد للأولى.",,,
5,أُولَئِكَ عَلَى هُدًى مِنْ رَبِّهِمْ وَأُولَئِكَ هُمُ الْمُفْلِحُونَ,"الجار ""من ربهم"" متعلق بنعت لـ""هدى""، ""هم"" ضمير فصل لا محل له.",,,
6,وَمِنَ النَّاسِ مَنْ يَشْتَرِي لَهْوَ الْحَدِيثِ لِيُضِلَّ عَنْ سَبِيلِ اللَّهِ بِغَيْرِ عِلْمٍ وَيَتَّخِذَهَا هُزُوًا أُولَئِكَ لَهُمْ عَذَابٌ مُهِينٌ ,"جملة ""ومن الناس من يشتري"" مستأنفة، والجار متعلق بخبر المبتدأ ""مَنْ"" ، والمصدر المؤول ""ليُضِلَّ"" مجرور متعلق بـ ""يشتري""، الجار ""بغير"" متعلق بحال من فاعل ""يشتري""، و ""هزوا"" مفعول ثان، جملة ""أولئك لهم عذاب"" معترضة بين المتعاطفين، وجملة ""لهم عذاب"" خبر المبتدأ.",,,
7,وَإِذَا تُتْلَى عَلَيْهِ آيَاتُنَا وَلَّى مُسْتَكْبِرًا كَأَنْ لَمْ يَسْمَعْهَا كَأَنَّ فِي أُذُنَيْهِ وَقْرًا فَبَشِّرْهُ بِعَذَابٍ أَلِيمٍ,"جملة الشرط معطوفة على جملة الصلة المتقدمة { يَشْتَرِي } لا محل لها، ""مستكبرا"" حال من الضمير في ""ولَّى""، ""كأن"" مخففة من الثقيلة، واسمها ضمير الشأن، وجملة ""لم يسمعها"" خبر ""كأن"" ، وجملة ""كأن لم يسمعها"" حال ثانية من فاعل ""ولَّى""، وجملة ""كأن في أذنيه وقرا"" حال ثالثة من فاعل ""ولَّى""، وجملة ""فبشِّره"" معطوفة على جملة ""ولَّى"" .",,,
8,إِنَّ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ جَنَّاتُ النَّعِيمِ ,"جملة ""لهم جنات"" خبر ""إنَّ"" في محل رفع، الجار ""لهم"" متعلق بخبر المبتدأ الثاني",,,
9,خَالِدِينَ فِيهَا وَعْدَ اللَّهِ حَقًّا وَهُوَ الْعَزِيزُ الْحَكِيمُ,"خالدين"" حال من الضمير في { لَهُمْ } ، الجار ""فيما"" متعلق بـ""خالدين""، ""وعد"": مفعول مطلق عامله محذوف أي: وَعَد الله ذلك وعدا، وهو مصدر مؤكد لنفسه؛ لأن قوله { لَهُمْ جَنَّاتُ } في معنى: وعدهم الله ذلك، وجملة ""وَعْدَ"" مستأنفة، و""حقا"" مفعول مطلق عامله محذوف، وهو مصدر مؤكد لغيره أي: لمضمون الجملة الأولى، والتقدير: أَحُقُّ ذلك حقا، والجملة مستأنفة، وجملة ""وهو العزيز"" مستأنفة و""الحكيم"" خبر ثالث.",,,
10,خَلَقَ السَّمَاوَاتِ بِغَيْرِ عَمَدٍ تَرَوْنَهَا وَأَلْقَى فِي الأَرْضِ رَوَاسِيَ أَنْ تَمِيدَ بِكُمْ وَبَثَّ فِيهَا مِنْ كُلِّ دَابَّةٍ وَأَنْزَلْنَا مِنَ السَّمَاءِ مَاءً فَأَنْبَتْنَا فِيهَا مِنْ كُلِّ زَوْجٍ كَرِيمٍ,"الجار ""بغير"" متعلق بحال من السموات، وجملة ""ترونها"" نعت لـ""عمد""، والمصدر المؤول ""أن تمِيد"" مفعول لأجله أي: خشية، الجار ""من كل"" متعلق بـ""أنبتنا"".",,,
