باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,2,2,لَا رَيْبَ فِيهِ هُدًى لِلْمُتَّقِينَ,فِيهِ,هُدًى,البقرة,خبر [جار ومجرور] > مبتدأ [اسم ظاهر],خبر شبه جملة مقدم + مبتدأ مؤخر,فِيهِ هُدًى,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,3,4,إِنَّ الَّذِينَ كَفَرُوا بِآيَاتِ اللَّهِ لَهُمْ عَذَابٌ شَدِيدٌ,لهم,عذاب شديد,آل عمران,,إنَّ + اسمها + جملة اسمية خبرها: خبر مقدم + مبتدأ مؤخر,لَهُمْ عَذَابٌ شَدِيدٌ ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,4,11,فَلَهُنَّ ثُلُثَا مَا تَرَكَ,لهن,ثلثا ما ترك,النساء,,جار ومجرور خبر مقدم + مبتدأ مؤخر,لَهُنَّ ثُلُثَا مَا تَرَكَ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,5,9,لَهُمْ مَغْفِرَةٌ وَأَجْرٌ عَظِيمٌ,لهم,مغفرة وأجر عظيم,المائدة,,خبر شبه جملة مقدم + مبتدأ مؤخر ومعطوف عليه,لَهُمْ مَغْفِرَةٌ وَأَجْرٌ عَظِيمٌ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,6,60,ثُمَّ إِلَيْهِ مَرْجِعُكُمْ,إليه,مرجعكم,الأنعام,,خبر شبه جملة مقدم + مبتدأ مؤخر,إِلَيْهِ مَرْجِعُكُمْ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,7,24,وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَى حِينٍ,لكم,مستقر ومتاع,الأعراف,,خبر شبه جملة مقدم + حال مقدمة + مبتدأ مؤخر ومعطوف عليه,وَلَكُمْ,مُسْتَقَرٌّ وَمَتَاعٌ
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,8,4,لَهُمْ دَرَجَاتٌ عِنْدَ رَبِّهِمْ وَمَغْفِرَةٌ وَرِزْقٌ كَرِيمٌ,الخبر المقدم المتعلق به «لهم»,المبتدأ «درجات» وما عطف عليه,الأنفال,,جار ومجرور خبر مقدم + مبتدأ مؤخر وما عطف عليه,لَهُمْ دَرَجَاتٌ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,9,21,لَهُمْ فِيهَا نَعِيمٌ مُقِيمٌ,الخبر المقدم المتعلق به «لهم فيها»,المبتدأ «نعيم»,التوبة,,جاران ومجروران متعلقان بخبر مقدم + مبتدأ مؤخر,لَهُمْ فِيهَا نَعِيمٌ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,2,7,وَعَلَى أَبْصَارِهِمْ غِشَاوَةٌ,على أبصارهم,غشاوة,البقرة,,خبر شبه جملة مقدم + مبتدأ مؤخر,عَلَى أَبْصَارِهِمْ غِشَاوَةٌ,
باب المبتدأ والخبر,خبر > مبتدأ,جار ومجرور,اسم ظاهر,3,7,مِنْهُ آيَاتٌ مُحْكَمَاتٌ,منه,آيات محكمات,آل عمران,,خبر مقدم + مبتدأ مؤخر,مِنْهُ آيَاتٌ مُحْكَمَاتٌ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم استفهام,اسم ظاهر,3,165,قُلْتُمْ أَنَّى هَذَا,أنى,هذا,آل عمران,خبر [اسم استفهام] > مبتدأ [اسم ظاهر],خبر استفهامي مقدم + مبتدأ مؤخر, أَنَّى هَذَا ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم استفهام,ضمير منفصل,2,68,قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّنْ لَنَا مَا هِيَ,ما,هي,البقرة,خبر [اسم استفهام] > مبتدأ [ضمير منفصل],خبر استفهامي مقدم + مبتدأ مؤخر,مَا هِيَ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم استفهام,7,37,أَيْنَ مَا كُنْتُمْ تَدْعُونَ مِنْ دُونِ اللَّهِ,أين,ما كنتم تدعون من دون الله,الأعراف,خبر [اسم ظاهر] > مبتدأ [اسم استفهام],خبر استفهامي ظرفي مقدم + مبتدأ موصول مؤخر, مَا كُنْتُمْ تَدْعُونَ مِنْ دُونِ اللَّهِ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,2,69,قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّنْ لَنَا مَا لَوْنُهَا,ما,لونها,البقرة,خبر [اسم ظاهر] > مبتدأ [اسم ظاهر],خبر استفهامي مقدم + مبتدأ مؤخر, مَا لَوْنُهَا,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,3,15,لِلَّذِينَ اتَّقَوْا عِنْدَ رَبِّهِمْ جَنَّاتٌ,للذين اتقوا,جنات,آل عمران,,خبر مقدم + ظرف + مبتدأ مؤخر,لِلَّذِينَ اتَّقَوْا,جَنَّاتٌ
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,4,7,لِلرِّجَالِ نَصِيبٌ مِمَّا تَرَكَ الْوَالِدَانِ وَالْأَقْرَبُونَ,للرجال,نصيب,النساء,,جار ومجرور خبر مقدم + مبتدأ مؤخر,لِلرِّجَالِ نَصِيبٌ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,6,22,أَيْنَ شُرَكَاؤُكُمُ الَّذِينَ كُنْتُمْ تَزْعُمُونَ,أين,شركاؤكم,الأنعام,,خبر استفهامي مقدم + مبتدأ مؤخر,أَيْنَ شُرَكَاؤُكُمُ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,7,34,وَلِكُلِّ أُمَّةٍ أَجَلٌ,لكل أمة,أجل,الأعراف,,خبر شبه جملة مقدم + مبتدأ مؤخر,لِكُلِّ أُمَّةٍ أَجَلٌ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,9,47,وَفِيكُمْ سَمَّاعُونَ لَهُمْ,الخبر المقدم الذي تعلق به «فيكم»,المبتدأ «سماعون»,التوبة,,جار ومجرور متعلق بخبر مقدم + مبتدأ مؤخر,فِيكُمْ سَمَّاعُونَ ,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,2,69,إِنَّهَا بَقَرَةٌ صَفْرَاءُ فَاقِعٌ لَوْنُهَا,فاقع,لونها,البقرة,,خبر مقدم + مبتدأ مؤخر، على أحد الأوجه, فَاقِعٌ لَوْنُهَا,
باب المبتدأ والخبر,خبر > مبتدأ,اسم ظاهر,اسم ظاهر,3,20,فَإِنَّمَا عَلَيْكَ الْبَلَاغُ,عليك,البلاغ,آل عمران,,خبر مقدم + مبتدأ مؤخر,عَلَيْكَ الْبَلَاغُ,
